GENESIS-Tabelle: 14339-01-03-4
Landtagswahlen: Bayern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Bayern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.10.2018;09;Bayern;9479428;72,3;6782374;2523041;654539;1196178;345250;218944;694311;1150112
14.10.2018;091;  Oberbayern, Regierungsbezirk;3203709;74,6;2367136;798011;221710;527462;151403;74839;202708;391004
14.10.2018;09161;    Ingolstadt;90643;64,0;57337;20784;5217;9517;3972;2894;7383;7572
14.10.2018;09162;    München, Landeshauptstadt;910459;72,7;656649;162579;84340;204303;57488;30752;42441;74748
14.10.2018;09163;    Rosenheim;41029;68,2;27618;9396;2254;5767;1620;967;3203;4412
14.10.2018;09171;    Altötting, Landkreis;82670;68,5;55875;24639;5384;6399;1940;1367;6045;10102
14.10.2018;09172;    Berchtesgadener Land, Landkreis;74266;70,6;51637;21863;3400;8195;1904;1329;5306;9642
14.10.2018;09173;    Bad Tölz-Wolfratshausen, Landkreis;92307;74,7;68199;26833;4026;14440;3259;1712;5686;12244
14.10.2018;09174;    Dachau, Landkreis;104705;77,6;80517;28787;8520;13740;4351;1754;7324;16042
14.10.2018;09175;    Ebersberg, Landkreis;99240;79,8;78506;28256;8307;17043;5257;2011;5733;11901
14.10.2018;09176;    Eichstätt, Landkreis;97666;77,0;74452;32776;5558;8680;3084;1999;8455;13901
14.10.2018;09177;    Erding, Landkreis;99451;77,6;76401;28705;5139;12282;3277;1811;8345;16844
14.10.2018;09178;    Freising, Landkreis;120712;76,2;91012;25857;5437;21393;4260;2781;8660;22626
14.10.2018;09179;    Fürstenfeldbruck, Landkreis;153673;77,6;118175;39432;10836;27899;6979;3165;9752;20114
